Třikrát rychlejší než slovo	Tř @@i @@krát rychl @@ejš @@í než slov @@o
INTERFORST - 7 . mezinárodní veletrh lesní a dřevařské techniky s vědeckým doprovodným programem : 5 . - 10 . 7 .	INTER @@FORST - 7 . mezi @@ná @@rod @@n @@í vele @@trh les @@n @@í a dřev @@ař @@sk @@é techn @@ik @@y s věd @@ec @@k @@ý @@m do @@pro @@vod @@n @@ým program @@em : 5 . - 10 . 7 .
MODE - WOCHE - München ( podzim ) - Mezinárodní odborný veletrh módy : 14 . - 16 . 8 .	MODE - WOCHE - München ( pod @@zim ) - Mezi @@ná @@rod @@n @@í od @@bor @@n @@ý vele @@trh mód @@y : 14 . - 16 . 8 .
ISPO - HERBST - 41 . mezinárodní odborný veletrh sportovních potřeb a mÓdy 30 . 8 . - 2 . 9 .	ISPO - HERBST - 41 . mezi @@ná @@rod @@n @@í od @@bor @@n @@ý vele @@trh sport @@ov @@n @@ích po @@třeb a mÓd @@y 30 . 8 . - 2 . 9 .
INHORGENTA - HERBST - Mezinárodní odborný veletrh hodin , bižuterie , drahých kamenů a stříbrného zboží : 10 . - 12 . 9 .	INHORGENT @@A - HERBST - Mezi @@ná @@rod @@n @@í od @@bor @@n @@ý vele @@trh hod @@in , bižuteri @@e , drah @@ý @@ch kamen @@ů a stříbr @@n @@ého zbož @@í : 10 . - 12 . 9 .
IMEGA - Mezinárodní odborný veletrh techniky pro potravinářský obchod , hotelnictví , gastronomii a společné stravování : 17 . - 21 . 9 .	IMEGA - Mezi @@ná @@rod @@n @@í od @@bor @@n @@ý vele @@trh techn @@ik @@y pro po @@trav @@in @@ář @@sk @@ý ob @@chod , hotel @@nic @@tv @@í , gastr @@o @@nom @@i @@i a s @@pol @@eč @@n @@é s @@trav @@ová @@n @@í : 17 . - 21 . 9 .
GOLF 94 München - 2 . mezinárodní odborný veletrh golfového sportu : 2 . - 4 . 10 .	GOLF 94 München - 2 . mezi @@ná @@rod @@n @@í od @@bor @@n @@ý vele @@trh golf @@ov @@ého sport @@u : 2 . - 4 . 10 .
INFRA CongressExpo - Kongres s výstavou Mezinárodního sdružení časopisecké mediální techologie : 4 . - 7 . 10 .	INFRA Con @@gress @@Ex @@po - Kon @@gres s vý @@stav @@ou Mezi @@ná @@rod @@n @@ího s @@druž @@en @@í čas @@o @@pis @@ec @@k @@é medi @@ál @@n @@í tech @@o @@log @@i @@e : 4 . - 7 . 10 .
CERAMITEC - 6 . mezinárodní odborný veletrh strojů , přístrojů , zařízení , řízení a surovin pro celou keramickou a práškovou metalurgii : 11 . - 15 . 10 .	CERAMITEC - 6 . mezi @@ná @@rod @@n @@í od @@bor @@n @@ý vele @@trh stroj @@ů , pří @@stroj @@ů , za @@říz @@en @@í , říz @@en @@í a sur @@ov @@in pro cel @@ou keramic @@k @@ou a práš @@k @@ov @@ou metal @@urg @@i @@i : 11 . - 15 . 10 .
MINERALIENTAGE München - 31 . mezinárodní prodejní výstava ( burza ) minerálů , krystalů , drahých kovů a fosilií : 14 . - 16 . 10 .	MINERAL @@IEN @@TAG @@E München - 31 . mezi @@ná @@rod @@n @@í pro @@d @@ej @@n @@í vý @@stav @@a ( burz @@a ) minerál @@ů , krystal @@ů , drah @@ý @@ch kov @@ů a fosil @@i @@í : 14 . - 16 . 10 .
SYSTEC - 5 . mezinárodní odborný veletrh informační techniky ve vývoji , výrobě , logistice a kontroly kvality s mezinárodním kongresem : 25 . - 28 . 10 .	SYSTEC - 5 . mezi @@ná @@rod @@n @@í od @@bor @@n @@ý vele @@trh in @@form @@ač @@n @@í techn @@ik @@y ve vý @@voj @@i , vý @@rob @@ě , log @@ist @@ic @@e a kontrol @@y kval @@it @@y s mezi @@ná @@rod @@n @@ím kon @@gres @@em : 25 . - 28 . 10 .
ELEKTRONICA - 16 . mezinárodní odborný veletrh elektronických stavebních prvků a skupin : 8 . - 12 . 11 .	ELEKTR @@O @@NIC @@A - 16 . mezi @@ná @@rod @@n @@í od @@bor @@n @@ý vele @@trh elektr @@on @@ic @@k @@ých stav @@eb @@n @@ích prv @@k @@ů a s @@kup @@in : 8 . - 12 . 11 .
17 .	17 .
HEIM + HANDWERK - Řemeslné práce v domácnosti s ukázkami jednotlivých řemeslnických oborů : 26 . 11 . - 4 . 12 .	HEIM + HAND @@WERK - Řemesl @@n @@é prác @@e v dom @@ác @@n @@ost @@i s u @@káz @@k @@ami jedn @@ot @@l @@iv @@ý @@ch řemesl @@nic @@k @@ých o @@bor @@ů : 26 . 11 . - 4 . 12 .
Kontakt : Zastoupení Messe München Expo - Conzult + Service , s . r . o . , Ing . Jaroslav Vondruška , Moravské náměstí 13 , 658 17 Brno , tel . : ( 05 ) 413212 38 / 331 , tel . / FAX : ( 05 ) 412148 43 .	Kon @@takt : Za @@stoup @@en @@í Messe München Ex @@po - Con @@zult + Service , s . r . o . , Ing . Jaroslav Vondrušk @@a , Morav @@sk @@é ná @@měst @@í 13 , 658 17 Brn @@o , tel . : ( 05 ) 413212 38 / 331 , tel . / FAX : ( 05 ) 412148 43 .
štoček : KALENDÁŘ PODNIKATELE	štoč @@ek : KALEND @@ÁŘ POD @@NIK @@A @@TEL @@E
Výstavy v 1 . polovině dubna	Vý @@stav @@y v 1 . pol @@ovin @@ě dubn @@a
Termíny výstav zveřejňujeme v této rubrice s předstihem , aby se na ně podnikatelé mohli připravit .	Termín @@y vý @@stav z @@veřej @@ň @@uje @@me v t @@é @@to rubric @@e s před @@stih @@em , aby s @@e na n @@ě pod @@nik @@a @@tel @@é moh @@l @@i při @@prav @@i @@t .
Informace o připravovaných akcích zasílejte na adresu redakce a označte heslem " Kalendář podnikatele .	In @@form @@ac @@e o při @@prav @@ova @@n @@ých akc @@ích za @@síl @@ej @@te na adres @@u redakc @@e a o @@znač @@te hesl @@e @@m " Kalend @@ář pod @@nik @@a @@tel @@e .
Redakce neručí za změny v plánovaných akcích .	Redakc @@e ne @@ruč @@í za z @@měn @@y v plán @@ova @@n @@ých akc @@ích .
Knihy	Knih @@y
Řízení lidských zdrojů	Říz @@en @@í lid @@sk @@ý @@ch zdroj @@ů
Kniha Řízení lidských zdrojů , kterou vydalo nakladatelství Grada , je překladem šestého vydání učebnice amerických autorů George T . Milkoviche a Johna W . Boudreaua .	Knih @@a Říz @@en @@í lid @@sk @@ý @@ch zdroj @@ů , kter @@ou vy @@d @@a @@l @@o na @@klad @@a @@tel @@stv @@í Grad @@a , je pře @@klad @@em šest @@ého vy @@d @@á @@n @@í uč @@eb @@n @@ic @@e americ @@k @@ých autor @@ů George T . Milkoviche a John @@a W . Boudreau @@a .
Není suchopárnou učebnicí , ale systematicky a přehledně charakterizuje principy personální práce - tj . strategické hodnocení podmínek pro práci zaměstnanců , plánování a stanovování cílů , nábor a výběr pracovníků a samozřejmě i jejich propouštění , plánování kariéry a osobního rozvoje zaměstnanců .	Není such @@o @@pár @@n @@ou uč @@eb @@n @@ic @@í , ale system @@at @@ic @@k @@y a pře @@hled @@n @@ě charakter @@iz @@uje princip @@y person @@ál @@n @@í prác @@e - t @@j . strateg @@ick @@é hod @@n @@oc @@en @@í pod @@mín @@ek pro prác @@i za @@měst @@n @@a @@n @@c @@ů , plán @@ová @@n @@í a stanov @@ová @@n @@í cíl @@ů , ná @@bor a vý @@běr prac @@ov @@ník @@ů a sam @@o @@zř @@ejm @@ě i je @@j @@i @@ch pro @@poušt @@ě @@n @@í , plán @@ová @@n @@í kariér @@y a o @@sob @@n @@í @@ho roz @@voj @@e za @@měst @@n @@a @@n @@c @@ů .
Zabývá se i činnostmi bezprostředně souvisejícími : Tvorbou a realizací mzdových systémů a nehmotných výhod pro zaměstnance , procesem kolektivního vyjednávání , přípravy a tvorby kolektivních smluv .	Za @@bý @@v @@á s @@e i čin @@n @@ost @@mi bez @@pro @@střed @@n @@ě sou @@vis @@ej @@íc @@ími : Tvor @@b @@ou a real @@iz @@ac @@í mzd @@ov @@ých systém @@ů a ne @@hmot @@n @@ých vý @@hod pro za @@měst @@n @@an @@c @@e , proces @@em ko @@lekt @@iv @@n @@ího vy @@jedn @@á @@v @@á @@n @@í , pří @@prav @@y a tvor @@b @@y ko @@lekt @@iv @@n @@ích s @@mluv .
Jednotlivé kapitoly jsou doplněny případovými studiemi .	Jedn @@ot @@l @@iv @@é kapitol @@y js @@ou do @@pln @@ěn @@y pří @@pad @@ov @@ými stud @@i @@emi .
Kniha obsahuje rovněž terminologický slovníček nejfrekventovanějších pojmů personálního managementu .	Knih @@a ob @@sah @@uje rovněž termin @@o @@log @@ick @@ý slov @@níč @@ek nej @@frekvent @@ova @@n @@ějš @@ích po @@jm @@ů person @@ál @@n @@ího manage @@ment @@u .
Kniha je určena především pro pracovníky personálních oddělení , řídící pracovníky , zaměstnance poradenských firem , stejně jako pro studenty škol s ekonomickým nebo podnikatelským zaměřením .	Knih @@a je urč @@en @@a přede @@vš @@í @@m pro prac @@ov @@ník @@y person @@ál @@n @@ích od @@děl @@en @@í , říd @@íc @@í prac @@ov @@ník @@y , za @@měst @@n @@an @@c @@e po @@rad @@en @@sk @@ých firem , stejn @@ě jako pro stud @@ent @@y škol s eko @@nom @@ick @@ým nebo pod @@nik @@a @@tel @@sk @@ým za @@měř @@en @@ím .
| Kontakt : Grada , Na Poříčí 17 , 110 00 Praha 1 , tel . : ( 02 ) 232 | | 9448 , 232 9438 , FAX : ( 02 ) 232 9369 . |	| Kon @@takt : Grad @@a , Na Po @@říč @@í 17 , 110 00 Prah @@a 1 , tel . : ( 02 ) 232 | | 9448 , 232 9438 , FAX : ( 02 ) 232 9369 . |
Subdodavatelský veletrh	Sub @@do @@d @@a @@v @@a @@tel @@sk @@ý vele @@trh
Spolupráce při výrobě je víc než jen obchodování	Spolu @@prác @@e při vý @@rob @@ě je víc než jen ob @@chod @@ová @@n @@í
Lipský jarní veletrh 1994 ( 8 . - 12 . 3 . 1994 ) se bude konat pod heslem Spolupráce Východ - Západ .	Lip @@sk @@ý jar @@n @@í vele @@trh 1994 ( 8 . - 12 . 3 . 1994 ) s @@e bud @@e kon @@a @@t pod hesl @@e @@m Spolu @@prác @@e Vý @@chod - Zá @@pad .
Je tu mnoho šancí pro malé a střední podnikatele z ČR najít své uplatnění na západních i východních trzích .	Je tu mnoh @@o šanc @@í pro mal @@é a střed @@n @@í pod @@nik @@a @@tel @@e z Č @@R na @@j @@í @@t s @@v @@é u @@plat @@n @@ěn @@í na zá @@pad @@n @@ích i vý @@chod @@n @@ích trz @@ích .
Největší zájem o výrobní spolupráci je v zemích přímo sousedících s ČR - v Bavorsku a Sasku .	Nej @@vět @@š @@í zá @@jem o vý @@rob @@n @@í spolu @@prác @@i je v zem @@í @@ch přím @@o sou @@sed @@íc @@ích s Č @@R - v Bavor @@sk @@u a Sas @@k @@u .
Základním výstavním programem veletrhu je Subdodavatelský trh střední a východní Evropy .	Zá @@klad @@n @@í @@m vý @@stav @@n @@ím program @@em vele @@trh @@u je Sub @@do @@d @@a @@v @@a @@tel @@sk @@ý trh střed @@n @@í a vý @@chod @@n @@í Evrop @@y .
Co se tu bude nabízet ?	C @@o s @@e tu bud @@e na @@bíz @@e @@t ?
Především kooperace a subdodávky , jako různé polotovary , odlitky , válcované výrobky , tažené polotovary , motory , pumpy , formy , řídicí aparatury , stavební dílce , a podobně .	Přede @@vš @@í @@m ko @@oper @@ac @@e a sub @@do @@d @@á @@v @@k @@y , jako různ @@é pol @@o @@tovar @@y , od @@li @@t @@k @@y , válc @@ova @@n @@é vý @@rob @@k @@y , taž @@en @@é pol @@o @@tovar @@y , motor @@y , pump @@y , form @@y , říd @@i @@c @@í aparat @@ur @@y , sta @@veb @@n @@í díl @@c @@e , a po @@dob @@n @@ě .
Někdo nabídne třeba pouhou práci ve mzdě na čemkoli .	Ně @@kd @@o na @@bíd @@n @@e třeb @@a pouh @@ou prác @@i ve mzd @@ě na čem @@koli .
I to je možné .	I t @@o je možn @@é .
Důležité pro spolupráci ČR - Německo budou doprovodné semináře na téma : Předpisy , celní otázky , doprava , logistika , dodržení kvality .	Dů @@lež @@it @@é pro spolu @@prác @@i Č @@R - Něm @@ec @@k @@o bud @@ou do @@pro @@vod @@n @@é semin @@ář @@e na tém @@a : Před @@pis @@y , cel @@n @@í o @@táz @@k @@y , do @@prav @@a , log @@ist @@ik @@a , do @@drž @@e @@n @@í kval @@it @@y .
Očekává se , že návštěvníci veletrhu se budou skládat především z nákupčích a obchodních vedoucích podniků střední velikosti zejména z nových spolkových zemí , kteří hledají nové kontakty a partnery , nebo výchozí pozici pro svůj podnik na mezinárodním trhu .	O @@ček @@á @@v @@á s @@e , že návštěv @@níc @@i vele @@trh @@u s @@e bud @@ou s @@klád @@a @@t přede @@vš @@í @@m z ná @@kup @@č @@ích a ob @@chod @@n @@ích ved @@ou @@c @@í @@ch pod @@nik @@ů střed @@n @@í vel @@ik @@ost @@i ze @@jmén @@a z nov @@ých spol @@k @@ov @@ých zem @@í , kteř @@í hled @@aj @@í nov @@é kon @@takt @@y a partner @@y , nebo vý @@choz @@í pozic @@i pro sv @@ůj pod @@nik na mezi @@ná @@rod @@n @@ím trh @@u .
Vystavovatelé z ČR by se mohli uplatnit jako subdodavatelé zejména pro východoněmecké podniky .	Vy @@stav @@ova @@tel @@é z Č @@R by s @@e moh @@l @@i u @@plat @@n @@i @@t jako sub @@do @@d @@a @@v @@a @@tel @@é ze @@jmén @@a pro vý @@chod @@o @@něm @@ec @@k @@é pod @@nik @@y .
Čeští výrobci jsou na veletrhu zvýhodněni subvencemi .	Češ @@t @@í vý @@rob @@c @@i js @@ou na vele @@trh @@u z @@vý @@hod @@n @@ěn @@i sub @@venc @@emi .
K dispozici dostanou výstavní stánek , vybavený nábytkem a zavedenou elektřinou za cenu 1000 Kč / m 2 .	K dis @@pozic @@i do @@sta @@n @@ou vý @@stav @@n @@í stán @@ek , vy @@bav @@en @@ý ná @@byt @@k @@em a za @@ved @@en @@ou elektř @@in @@ou za cen @@u 1000 K @@č / m 2 .
Cena nezařízené výstavní plochy se běžně poskytuje za 3500 Kč / m 2 .	Cen @@a ne @@za @@říz @@en @@é vý @@stav @@n @@í ploch @@y s @@e běž @@ně po @@skyt @@uje za 3500 K @@č / m 2 .
Z ČR se může zúčastnit pouze 26 firem , takže na jednu vyjde plocha asi 12 m 2 v rámci finanční podpory .	Z Č @@R s @@e můž @@e z @@ú @@čast @@n @@i @@t pouz @@e 26 firem , tak @@že na jedn @@u vy @@jd @@e ploch @@a asi 12 m 2 v rám @@c @@i finanč @@n @@í pod @@por @@y .
V ceně je i zařazení do katalogu výstavy .	V cen @@ě je i za @@řaz @@en @@í do kata @@log @@u vý @@stav @@y .
Služeb veletrhu však nemusí využít jen vystavující .	Služ @@eb vele @@trh @@u však ne @@mus @@í vy @@u @@ží @@t jen vy @@stav @@uj @@íc @@í .
I pro návštěvníky je k dispozici kontaktní středisko Východ - Západ .	I pro návštěv @@ník @@y je k dis @@pozic @@i kon @@takt @@n @@í střed @@isk @@o Vý @@chod - Zá @@pad .
Obdobnou možnost však mají naše firmy a podniky i v Praze , kde pracuje Saská spojovací kancelář pro hospodářskou spolupráci .	Ob @@dob @@n @@ou mož @@n @@ost však m @@aj @@í n @@a @@š @@e firm @@y a pod @@nik @@y i v Praz @@e , kd @@e prac @@uje Sas @@k @@á s @@poj @@ova @@c @@í kancelář pro hospod @@ář @@sk @@ou spolu @@prác @@i .
Ladislav Víla	Ladislav Víl @@a
Kontakt : Consulto , ulice 28 . října 13 , 112 79 Praha 1 , tel . : ( 02 ) 24 19 53 19 , 24 19 54 83 .	Kon @@takt : Consulto , ulic @@e 28 . říj @@n @@a 13 , 112 79 Prah @@a 1 , tel . : ( 02 ) 24 19 53 19 , 24 19 54 83 .
Nabídky	Na @@bíd @@k @@y
Kurzy _ , školení , semináře	Kurz @@y _ , škol @@en @@í , semin @@ář @@e
* Téma : Sekretářka - asistentka - nové pojetí sekretářské práce ( rozvoj osobnosti , komplexní agenda sekretářky v novém pojetí )	* Tém @@a : Sekret @@ář @@k @@a - asist @@ent @@k @@a - nov @@é po @@j @@e @@t @@í sekret @@ář @@sk @@é prác @@e ( roz @@voj o @@sob @@n @@ost @@i , kom @@plex @@n @@í agend @@a sekret @@ář @@k @@y v nov @@ém po @@j @@e @@t @@í )
Termíny : 14 . - 16 . 2 . , 7 . - 9 . 3 . 1994 _ , semináře 28 . 3 . a 29 . 3 . 1994 .	Termín @@y : 14 . - 16 . 2 . , 7 . - 9 . 3 . 1994 _ , semin @@ář @@e 28 . 3 . a 29 . 3 . 1994 .
Kontakt : INPRO - Institut , Samcova 1 , 110 00 Praha 1 , pí Koutná , tel . : ( 02 ) 232 4634 , FAX : ( 02 ) 231 6267 .	Kon @@takt : INPRO - In @@stitu @@t , Samc @@ov @@a 1 , 110 00 Prah @@a 1 , pí Kout @@n @@á , tel . : ( 02 ) 232 4634 , FAX : ( 02 ) 231 6267 .
* Téma : Společenské aspekty práce manažera - obecné zásady společenského chování , kultura chování v pracovním a obchodním styku , oblékání , styl , vzhled , etiketa korespondence a telefonické komunikace .	* Tém @@a : Spol @@eč @@en @@sk @@é aspekt @@y prác @@e manaž @@er @@a - obec @@n @@é zá @@sad @@y spol @@eč @@en @@sk @@ého chov @@á @@n @@í , kult @@ur @@a chov @@á @@n @@í v prac @@ov @@n @@í @@m a ob @@chod @@n @@ím s @@tyk @@u , ob @@lék @@á @@n @@í , styl , vz @@hled , etiket @@a ko @@re @@spond @@enc @@e a tele @@fon @@ick @@é komun @@ik @@ac @@e .
Termín : 7 . 3 . 1994 .	Termín : 7 . 3 . 1994 .
Kontakt : INPRO - Institut , Samcova 1 , 110 00 Praha 1 , pí Koutná , tel . : ( 02 ) 232 4634 , FAX : ( 02 ) 231 6267 .	Kon @@takt : INPRO - In @@stitu @@t , Samc @@ov @@a 1 , 110 00 Prah @@a 1 , pí Kout @@n @@á , tel . : ( 02 ) 232 4634 , FAX : ( 02 ) 231 6267 .
* Téma : Protipožární ochrana staveb - nové materiály v požární ochraně stavebního díla , legislativa , certifikace , normy , ochrana OK , dřeva atd .	* Tém @@a : Proti @@po @@žár @@n @@í o @@chran @@a stav @@eb - nov @@é materi @@ál @@y v po @@žár @@n @@í o @@chran @@ě stav @@eb @@n @@ího díl @@a , legislat @@iv @@a , certi @@fik @@ac @@e , norm @@y , o @@chran @@a O @@K , dřev @@a atd .
Termín : 2 . - 3 . 3 . 1994 .	Termín : 2 . - 3 . 3 . 1994 .
Kontakt : J . Seidl & spol . , s . r . o . , Technická kancelář Praha , Jihozápadní V . / 985 / 2 , 141 00 Praha 4 , tel . + FAX : ( 02 ) 761212 .	Kon @@takt : J . Seidl & spol . , s . r . o . , Techn @@ic @@k @@á kancelář Prah @@a , Jih @@o @@zá @@pad @@n @@í V . / 985 / 2 , 141 00 Prah @@a 4 , tel . + FAX : ( 02 ) 761212 .
* Téma : Logistika - dokonalé zajištění výroby .	* Tém @@a : Log @@ist @@ik @@a - do @@kon @@a @@l @@é za @@jišt @@ěn @@í vý @@rob @@y .
Termín : 15 . - 17 . 2 . , 1 . - 3 . 3 . , 22 . - 24 . 3 . 1994 ( 3 dvoudenní soustředění , hotel Skalní město u Jičína ) .	Termín : 15 . - 17 . 2 . , 1 . - 3 . 3 . , 22 . - 24 . 3 . 1994 ( 3 dv @@ou @@den @@n @@í sou @@střed @@ěn @@í , hotel Skal @@n @@í měst @@o u Jičín @@a ) .
Kontakt : Management Partner GmbH , Training Center , Ing . Arnošt Štíhel , V jámě 12 , 110 00 Praha 1 , tel . : ( 02 ) 266937 , FAX : ( 02 ) 267084 .	Kon @@takt : Manage @@ment Partner G @@m @@b @@H , Train @@ing Center , Ing . Arnošt Štíhel , V jám @@ě 12 , 110 00 Prah @@a 1 , tel . : ( 02 ) 266937 , FAX : ( 02 ) 267084 .
* Téma : Ekologie a řízení podniku - průřezový kurz ochranou životního prostředí určený pro manažery , majitele firem , vedoucí pracovníky apod .	* Tém @@a : Eko @@log @@i @@e a říz @@en @@í pod @@nik @@u - prů @@řez @@ov @@ý kurz o @@chran @@ou ži @@v @@ot @@n @@ího pro @@střed @@í u @@rč @@en @@ý pro manaž @@er @@y , m @@aj @@i @@tel @@e firem , ved @@oucí prac @@ov @@ník @@y a @@pod .
Termín : 22 . 2 . 1994 .	Termín : 22 . 2 . 1994 .
Kontakt : Ekotip , Ing . Přibyslava Tichotová , Pavlíkova 601 , 142 00 Praha 4 , tel . : ( 02 ) 471 5528 , tel . + FAX : ( 02 ) 472 5982 .	Kon @@takt : Eko @@tip , Ing . Přibyslav @@a Tichot @@ov @@á , Pavl @@ík @@ov @@a 601 , 142 00 Prah @@a 4 , tel . : ( 02 ) 471 5528 , tel . + FAX : ( 02 ) 472 5982 .
* Téma : Pobytové kurzy pro řídící pracovníky , vlastníky firem a další , kterým časové možnosti nedovolují návštěvu kurzů a plné soustředění na výuku během týdne .	* Tém @@a : Po @@by @@t @@ov @@é kurz @@y pro říd @@íc @@í prac @@ov @@ník @@y , vlast @@n @@ík @@y firem a dal @@š @@í , kter @@ý @@m čas @@ov @@é mož @@n @@ost @@i ne @@do @@vol @@uj @@í návštěv @@u kurz @@ů a pln @@é sou @@střed @@ěn @@í na vý @@uk @@u běh @@em týdn @@e .
Termín : 1 x měsíčně čtvrtek - neděle po celý školní rok v Novém Městě na Moravě .	Termín : 1 x měsíč @@n @@ě čtvrt @@ek - ne @@děl @@e po cel @@ý škol @@n @@í rok v Nov @@ém Měst @@ě na Morav @@ě .
Kontakt : ILC ( Prague ) s . r . o . , Lupáčova 1 , 130 00 Praha 3 , tel . : ( 02 ) 275789 , 276878 , 275347 , linka 109 .	Kon @@takt : ILC ( Prague ) s . r . o . , Lupáč @@ov @@a 1 , 130 00 Prah @@a 3 , tel . : ( 02 ) 275789 , 276878 , 275347 , lin @@k @@a 109 .
